"Featured Product","Featured Product"
"Featured product","Featured product"
"Go to the %1 product page","Go to the %1 product page"
"Available for sale:","Available for sale:"
"units","units"
"Last units!","Last units!"
"Out of stock","Out of stock"
"View product","View product"
"Updated at %1","Updated at %1"
"Checking availability...","Checking availability..."
"Could not refresh, retrying...","Could not refresh, retrying..."
"Featured product is not available.","Featured product is not available."
"Unable to load stock information right now.","Unable to load stock information right now."
"No featured product SKU is configured.","No featured product SKU is configured."
"The featured product box is disabled.","The featured product box is disabled."
"Unable to resolve the stock for the current website.","Unable to resolve the stock for the current website."
"General","General"
"Display Settings","Display Settings"
"Enabled","Enabled"
"Product SKU","Product SKU"
"Stock Refresh Interval (seconds)","Stock Refresh Interval (seconds)"
"Low Stock Threshold","Low Stock Threshold"
"Show the featured product box on the homepage.","Show the featured product box on the homepage."
"SKU of the product to feature on the homepage (e.g. 24-MB01).","SKU of the product to feature on the homepage (e.g. 24-MB01)."
"How often the available quantity is refreshed without reloading the page. Min 5, max 300 seconds.","How often the available quantity is refreshed without reloading the page. Min 5, max 300 seconds."
"When the available quantity is at or below this value, the box highlights the stock as ""last units"". Use 0 to disable.","When the available quantity is at or below this value, the box highlights the stock as ""last units"". Use 0 to disable."
