"Featured Product","Produto em Destaque"
"Featured product","Produto em destaque"
"Go to the %1 product page","Ir para a página do produto %1"
"Available for sale:","Disponível para venda:"
"units","unidades"
"Last units!","Últimas unidades!"
"Out of stock","Esgotado"
"View product","Ver produto"
"Updated at %1","Atualizado às %1"
"Checking availability...","Verificando disponibilidade..."
"Could not refresh, retrying...","Não foi possível atualizar, tentando novamente..."
"Featured product is not available.","O produto em destaque não está disponível."
"Unable to load stock information right now.","Não foi possível carregar as informações de estoque no momento."
"No featured product SKU is configured.","Nenhum SKU de produto em destaque está configurado."
"The featured product box is disabled.","O box de produto em destaque está desabilitado."
"Unable to resolve the stock for the current website.","Não foi possível resolver o estoque do website atual."
"The SKU ""%1"" does not match any product. Please check the value and try again.","O SKU ""%1"" não corresponde a nenhum produto. Verifique o valor e tente novamente."
"General","Geral"
"Display Settings","Configurações de Exibição"
"Enabled","Habilitado"
"Product SKU","SKU do Produto"
"Stock Refresh Interval (seconds)","Intervalo de Atualização do Estoque (segundos)"
"Low Stock Threshold","Limite de Estoque Baixo"
"Show the featured product box on the homepage.","Exibe o box de produto em destaque na homepage."
"SKU of the product to feature on the homepage (e.g. 24-MB01).","SKU do produto a ser destacado na homepage (ex.: 24-MB01)."
"How often the available quantity is refreshed without reloading the page. Min 5, max 300 seconds.","Frequência de atualização da quantidade disponível sem recarregar a página. Mín. 5, máx. 300 segundos."
"When the available quantity is at or below this value, the box highlights the stock as ""last units"". Use 0 to disable.","Quando a quantidade disponível for igual ou inferior a este valor, o box destaca o estoque como ""últimas unidades"". Use 0 para desabilitar."
